HOG0021130	GO:0000122,GO:0000978,GO:0001228,GO:0005634,GO:0007420,GO:0030154,GO:0030182,GO:0045944,GO:0048593
HOG0018849	GO:0000398,GO:0003723,GO:0089701
HOG0002558	GO:0004623,GO:0005509,GO:0005543,GO:0006644,GO:0016042,GO:0047498
HOG0008506	GO:0000132,GO:0000776,GO:0005813,GO:0005871,GO:0007020,GO:0007059,GO:0007100,GO:0008017,GO:0010975,GO:0016477,GO:0047496,GO:0051303,GO:0051642
HOG0020793	GO:0005375,GO:0016020,GO:0035434
HOG0009824	GO:0004419,GO:0005739,GO:0006552,GO:0016833,GO:0046951
HOG0019230	GO:0000045,GO:0000407,GO:0000422,GO:0006914,GO:0030242,GO:0032266,GO:0034727,GO:0043495,GO:0061709,GO:0061723,GO:0061908
HOG0007034	GO:0001917,GO:0005509,GO:0007601,GO:0008048,GO:0031284,GO:0120199
HOG0020485	GO:0005737,GO:0008104,GO:0051018
HOG0019167	GO:0005737
HOG0019028	GO:0004582,GO:0005789,GO:0006488,GO:0006506,GO:0035269
HOG0004645	GO:0004930,GO:0005886,GO:0007186
HOG0019368	GO:0005200,GO:0005882,GO:0008307,GO:0017166,GO:0019215,GO:0031443,GO:0042383,GO:0043034,GO:0045104,GO:0060053
HOG0003217	GO:0003714,GO:0005634,GO:0005667,GO:0006355,GO:0090090
HOG0009122	GO:0005739,GO:0006810,GO:1990542
HOG0006424	GO:0016020
HOG0018825	GO:0004252,GO:0006465
HOG0020903	GO:0005813,GO:0007052,GO:0030496,GO:0031122,GO:0060271,GO:0097546,GO:1905515
HOG0018818	GO:0019005,GO:0031146
HOG0019629	GO:0006357,GO:0021515
HOG0020923	GO:0005765,GO:0005770
HOG0019734	GO:0003682,GO:0006261
HOG0006178	GO:0016020
HOG0009553	GO:0004605,GO:0005789
HOG0019802	GO:0005886,GO:0015485,GO:0015918,GO:0016020,GO:0030299,GO:0032934,GO:0042632
HOG0020043	GO:0005634,GO:0005737,GO:0017101,GO:0043517
HOG0020566	GO:0006355,GO:0070176
HOG0021251	GO:0000801,GO:0007130
HOG0020430	GO:0005005,GO:0005886,GO:0006468,GO:0007411,GO:0030425,GO:0048013
HOG0003668	GO:0000978,GO:0000981,GO:0006357,GO:0009653,GO:0030154
HOG0019703	GO:0000139,GO:0005789,GO:0022857,GO:0046963,GO:0046964,GO:0055085
HOG0002621	GO:0005615,GO:0031012
HOG0020158	GO:0005762
HOG0003685	GO:0000226,GO:0008017,GO:0072686
HOG0018840	GO:0000226,GO:0000278,GO:0000922,GO:0000930,GO:0005815,GO:0007020,GO:0031122,GO:0043015,GO:0051011,GO:0051225,GO:0051321
HOG0019844	GO:0006357,GO:0035098
HOG0018773	GO:0005634,GO:0046974
HOG0010607	GO:0003682,GO:0005634,GO:0007076
HOG0009079	GO:0005096,GO:0005829,GO:0007010,GO:0043066
HOG0018846	GO:0005783,GO:0005829,GO:0006979,GO:0008379,GO:0033554,GO:0042744,GO:0045454
HOG0019965	GO:0005814,GO:0046599
HOG0020348	GO:0003779,GO:0003785,GO:0005938,GO:0042989
HOG0019023	GO:0000978,GO:0000981,GO:0001816,GO:0003700,GO:0005667,GO:0006355,GO:0006357,GO:0008134,GO:0033173
HOG0018730	GO:0005634,GO:0005737,GO:0005839,GO:0051603
HOG0019335	GO:0005786,GO:0006614,GO:0008312,GO:0030942
HOG0019994	GO:0005747,GO:0022904
HOG0020005	GO:0005783
HOG0005909	GO:0003713,GO:0005634,GO:0045944,GO:0140297
HOG0007291	GO:0008234
HOG0019366	GO:0006357,GO:0016538
HOG0005618	GO:0031462
HOG0021007	GO:0005125,GO:0005173,GO:0005886,GO:0007155,GO:0008284,GO:0016020
HOG0020832	GO:0000978,GO:0000981,GO:0006357
HOG0018702	GO:0006108,GO:0016615
HOG0005650	GO:0009986,GO:0045211,GO:0050806,GO:0051965
HOG0010044	GO:0016192
HOG0018746	GO:0004963,GO:0005886,GO:0007189,GO:0007190,GO:0008528,GO:0008584,GO:0009755,GO:0042699
HOG0008045	GO:0000287,GO:0002189,GO:0004749,GO:0005524,GO:0005737,GO:0006015,GO:0006164,GO:0009165
HOG0020821	GO:0005739,GO:0006694,GO:0015485,GO:0032367,GO:0050810,GO:0120020
HOG0019890	GO:0007420,GO:0015036,GO:0043227
HOG0021449	GO:0000981,GO:0003700,GO:0005634,GO:0007423,GO:0045944,GO:0061564,GO:0070888
HOG0005416	GO:0005634,GO:0005829,GO:0045892
HOG0020725	GO:0000398,GO:0005684
HOG0004011	GO:0000977,GO:0000978,GO:0000981,GO:0005634,GO:0006357
HOG0009269	GO:0000981,GO:0005634,GO:0006357,GO:1990837
HOG0009426	GO:0004758,GO:0017059,GO:0046512,GO:0046513
HOG0008424	GO:0016525,GO:0062023
HOG0020560	GO:0000122,GO:0000978,GO:0004879,GO:0030154,GO:0032052,GO:0038181,GO:0038183,GO:0045944,GO:0050728,GO:0090575
HOG0006179	GO:0016020
HOG0009603	GO:0005886,GO:0038023
